"","Mean","SD","Range","pANOVA","Mean_Breast","Mean_CNS","Mean_Colon","Mean_Blood","Mean_Skin","Mean_Lung","Mean_Ovary","Mean_Prostate","Mean_Kidney"
"2_A2M",3.39233333333333,1.11518998406772,6.14,0.0133794524099809,2.95,4.04833333333333,3.05285714285714,3.05333333333333,4.567,3.09888888888889,2.97285714285714,3.115,3.02625
"12_SERPINA3",4.7415,1.057191394246,6.56,0.179129116050399,4.366,4.94833333333333,4.53428571428571,4.56166666666667,5.705,4.37111111111111,4.50285714285714,4.58,4.59875
"16_AARS",7.69016666666667,0.510481632554141,2.79,0.00509589868085057,7.814,7.65833333333333,7.88714285714286,7.66333333333333,7.198,7.81,7.41571428571429,8.145,8.09125
"29_ABR",6.60283333333333,0.594662962986617,3.44,0.00170001439380248,6.528,6.8,6.63857142857143,5.885,7.1,6.66444444444444,6.13714285714286,6.41,6.77375
"34_ACADM",6.51483333333333,0.554862913797043,2.43,0.0433253633472598,6.274,6.57833333333333,6.66714285714286,7.12166666666667,6.732,6.33555555555556,6.22857142857143,6.39,6.24125
"39_ACAT2",7.76333333333333,0.624745824021873,2.59,0.655947745361342,8.11,8.085,7.72428571428571,7.93,7.491,7.74333333333333,7.72142857142857,7.84,7.595
"48_ACO1",6.32216666666667,0.782414974352099,4.1,0.0506062142251411,6.24,6.815,5.96714285714286,5.65666666666667,6.428,6.13888888888889,6.20142857142857,6.375,6.98
"52_ACP1",7.75016666666667,0.672482100238544,3.5,0.0636601852181735,7.12,7.89333333333333,8.00714285714286,8.24333333333333,7.635,8.03666666666667,7.29571428571429,7.7,7.67375
"54_ACP5",5.17483333333333,0.984834997221064,4,3.02896411420563e-13,4.896,4.745,4.84571428571429,4.75666666666667,7.073,4.79777777777778,4.78142857142857,4.645,4.80125
"59_ACTA2",5.735,1.75574070515233,8.14,0.154936059358712,7.81,6.055,4.90142857142857,4.95666666666667,5.48,5.86,5.59428571428571,4.46,6.13125
"72_ACTG2",3.137,1.19573153270502,8.1,0.298087313846059,4.508,3.645,2.83571428571429,2.86,3.165,2.84777777777778,2.86142857142857,2.9,2.96125
"81_ACTN4",10.2181666666667,0.740317136960125,2.95,0.000231057416796509,10.362,10.7183333333333,10.3528571428571,9.12,9.803,10.1755555555556,10.7971428571429,10.25,10.51125
"87_ACTN1",7.94416666666667,1.07250110294545,5.24,6.92241289165263e-07,8.274,8.475,7.30285714285714,5.84666666666667,8.119,8.03777777777778,8.64,8.21,8.475
"90_ACVR1",4.569,0.688549691718834,3.23,2.69382223278713e-05,4.49,5.03166666666667,4.14714285714286,3.68333333333333,5.245,4.51111111111111,4.19571428571429,4.705,4.8175
"97_ACYP1",6.12233333333333,0.593416898831849,2.57,0.00581557350073207,6.228,5.83833333333333,6.68428571428571,6.33333333333333,6.06,6.16111111111111,6.28,6.345,5.46
"100_ADA",6.51866666666667,0.945919813612819,5.66,0.00850107310563144,5.964,6.02166666666667,6.48571428571429,7.97833333333333,6.507,6.31444444444444,6.60857142857143,6.04,6.4575
"104_ADARB1",3.66483333333333,0.830977557196927,3.66,0.0170085965366528,3.344,4.53666666666667,3.18142857142857,3.57333333333333,3.466,3.89888888888889,4.27,3.11,3.2975
"113_ADCY7",4.22366666666667,0.81200936511813,3.23,2.17532872734896e-05,3.624,3.72,3.84714285714286,5.23,3.598,4.59888888888889,4.35857142857143,4.04,4.83875
"115_ADCY9",4.32416666666667,0.702519175603339,3.64,1.04572996004691e-05,4.796,4.57166666666667,3.75,3.46666666666667,4.275,4.20222222222222,4.88142857142857,3.51,4.90375
"123_PLIN2",5.9615,1.53719734515972,5.23,0.00124104753204781,5.586,4.32333333333333,6.2,6.09333333333333,6.766,5.28333333333333,5.06285714285714,6.805,7.45
"133_ADM",6.1905,1.29998490864774,5.58,0.0231331912549915,6.508,6.95666666666667,5.68,4.7,5.86,6.91888888888889,6.44714285714286,5.355,6.56
"134_ADORA1",5.28916666666667,0.719727565375665,3.31,6.53422702266898e-05,4.98,5.41833333333333,4.86285714285714,4.90166666666667,4.958,5.05222222222222,5.81,5.3,6.27125
"136_ADORA2B",5.05633333333333,0.932017979506991,4.46,0.322817159190486,5.32,5.57333333333333,5.32142857142857,4.25666666666667,4.698,5.23111111111111,5.21857142857143,4.935,5.01125
"143_PARP4",4.2195,0.60420398676864,2.66,0.0166892346954916,3.848,4,5.04285714285714,4.14,4.219,4.27222222222222,4.06571428571429,3.84,4.12625
"154_ADRB2",4.57433333333333,0.828742904802139,3.5,0.00143206511910681,4.594,4.33833333333333,4.18571428571429,4.585,3.996,4.34222222222222,5.38571428571429,5.97,4.99625
"163_AP2B1",7.52016666666667,0.573755075799465,2.35,0.0145475052134398,7.46,7.63333333333333,7.49714285714286,7.28333333333333,6.993,7.97888888888889,7.54285714285714,8.02,7.66875
"165_AEBP1",5.01033333333333,0.660680098149169,2.86,0.250349852546024,4.952,4.69833333333333,4.64857142857143,5.49166666666667,5.283,4.85444444444444,5.22857142857143,4.675,4.96375
